dataset,task,split,coverage_kind,snapshot_dir,status,error,num_rows,num_positive_rows,num_rows_with_candidates,num_rows_with_hit,num_groundtruth_labels,num_covered_groundtruth_labels,achievable_ap_sum,coverage_rate,hit_rate,achievable_MAP,coverage_gap,num_rows_with_neighbors
rel-hm,user-item-purchase,val,base,,ok,,74575.0,74575.0,66828.0,6685.0,237152.0,8353.0,3368.667676767689,0.03522213601403319,0.08964130070398928,0.04517154108974441,0.9548284589102556,
rel-hm,user-item-purchase,val,item_cf,,missing_snapshot,,,,,,,,,,,,,
rel-hm,user-item-purchase,val,user_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-hm/user-item-purchase/user_cf_window_4w_alpha_0.5_overlap_3_top16,ok,,74575.0,74575.0,8485.0,2206.0,237152.0,3377.0,988.6306277056307,0.014239812440966131,0.02958095876634261,0.013256863931687974,0.986743136068312,8485.0
rel-hm,user-item-purchase,test,base,,ok,,67144.0,67144.0,59958.0,6196.0,207996.0,7826.0,3254.4942640692816,0.03762572357160714,0.09227928035267485,0.048470366139480546,0.9515296338605195,
rel-hm,user-item-purchase,test,item_cf,,missing_snapshot,,,,,,,,,,,,,
rel-hm,user-item-purchase,test,user_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-hm/user-item-purchase/user_cf_window_4w_alpha_0.5_overlap_3_top16,ok,,67144.0,67144.0,7964.0,2241.0,207996.0,3421.0,1059.338131313134,0.016447431681378487,0.03337602764208269,0.015777107877295575,0.9842228921227044,7964.0
rel-avito,user-ad-visit,val,base,,ok,,29979.0,29979.0,24549.0,12303.0,877441.0,61056.0,5079.610101010092,0.06958416577296934,0.41038727108976286,0.16943894396110917,0.8305610560388909,
rel-avito,user-ad-visit,val,item_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-avito/user-ad-visit/window_12d_alpha_0.5_support_3_top16,ok,,29979.0,29979.0,11308.0,1942.0,877441.0,4759.0,405.701515151513,0.005423726495570642,0.06477867840821909,0.013532856838170486,0.9864671431618295,
rel-avito,user-ad-visit,val,item_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-avito/user-ad-visit/window_4d_alpha_0.5_support_3_top32,ok,,29979.0,29979.0,5218.0,676.0,877441.0,1232.0,108.97456709956677,0.0014040830095698742,0.022549117715734347,0.0036350300910492936,0.9963649699089507,
rel-avito,user-ad-visit,val,user_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-avito/user-ad-visit/user_cf_window_12d_alpha_0.5_overlap_3_top16,ok,,29979.0,29979.0,13566.0,6586.0,877441.0,35488.0,2474.0194805194797,0.040444884613324426,0.2196871143133527,0.08252508357581906,0.9174749164241809,13566.0
rel-avito,user-ad-visit,test,base,,ok,,36129.0,36129.0,25083.0,10481.0,712985.0,47367.0,4280.151479076526,0.06643477773024678,0.29009936616014836,0.11846858421424689,0.8815314157857531,
rel-avito,user-ad-visit,test,item_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-avito/user-ad-visit/window_12d_alpha_0.5_support_3_top16,ok,,36129.0,36129.0,10787.0,1527.0,712985.0,3573.0,303.581204906206,0.005011325623961233,0.042265216308228847,0.008402701566780314,0.9915972984332196,
rel-avito,user-ad-visit,test,item_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-avito/user-ad-visit/window_4d_alpha_0.5_support_3_top32,ok,,36129.0,36129.0,4613.0,443.0,712985.0,845.0,73.56479076479084,0.0011851581730330932,0.012261618090730439,0.002036170133820223,0.9979638298661798,
rel-avito,user-ad-visit,test,user_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-avito/user-ad-visit/user_cf_window_12d_alpha_0.5_overlap_3_top16,ok,,36129.0,36129.0,11745.0,5114.0,712985.0,25297.0,1861.3714285714118,0.035480409826293684,0.1415483406681613,0.05152014804094804,0.9484798519590519,11745.0
rel-stack,user-post-comment,val,base,,ok,,825.0,825.0,614.0,149.0,1603.0,230.0,105.19469109729253,0.14348097317529632,0.1806060606060606,0.1275087164815667,0.8724912835184333,
rel-stack,user-post-comment,val,item_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-stack/user-post-comment/window_365d_alpha_0.5_support_3_top16,ok,,825.0,825.0,117.0,3.0,1603.0,5.0,0.11944480365532997,0.0031191515907673115,0.0036363636363636364,0.00014478158018827876,0.9998552184198117,
rel-stack,user-post-comment,val,user_cf,,not_supported,,,,,,,,,,,,,
rel-stack,user-post-comment,test,base,,ok,,758.0,758.0,620.0,132.0,1517.0,223.0,96.18190695527383,0.14700065919578115,0.1741424802110818,0.12688905930774913,0.8731109406922508,
rel-stack,user-post-comment,test,item_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-stack/user-post-comment/window_365d_alpha_0.5_support_3_top16,ok,,758.0,758.0,109.0,6.0,1517.0,7.0,0.947978687978688,0.004614370468029005,0.0079155672823219,0.0012506315144837573,0.9987493684855162,
rel-stack,user-post-comment,test,user_cf,,not_supported,,,,,,,,,,,,,
rel-trial,condition-sponsor-run,val,base,,ok,,2081.0,2081.0,2033.0,1215.0,30448.0,10499.0,747.3527777777776,0.3448173935890699,0.5838539163863528,0.3591315606812963,0.6408684393187036,
rel-trial,condition-sponsor-run,val,item_cf,,not_supported,,,,,,,,,,,,,
rel-trial,condition-sponsor-run,val,user_cf,,not_supported,,,,,,,,,,,,,
rel-trial,condition-sponsor-run,val,trial_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-trial/condition-sponsor-run/source_sponsor_window_1460d_alpha_0.5_support_1_top16,ok,,2081.0,2081.0,1972.0,735.0,30448.0,1260.0,272.46746031745926,0.04138202837624803,0.3531955790485344,0.13093102369892323,0.8690689763010768,
rel-trial,condition-sponsor-run,test,base,,ok,,2057.0,2057.0,2025.0,1202.0,25694.0,9898.0,733.9726190476197,0.3852261228302327,0.5843461351482742,0.35681702433039364,0.6431829756696064,
rel-trial,condition-sponsor-run,test,item_cf,,not_supported,,,,,,,,,,,,,
rel-trial,condition-sponsor-run,test,user_cf,,not_supported,,,,,,,,,,,,,
rel-trial,condition-sponsor-run,test,trial_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-trial/condition-sponsor-run/source_sponsor_window_1460d_alpha_0.5_support_1_top16,ok,,2057.0,2057.0,1953.0,715.0,25694.0,1189.0,270.3119047619039,0.046275395033860044,0.34759358288770054,0.13141074611662806,0.8685892538833719,
rel-trial,site-sponsor-run,val,base,,ok,,37003.0,37003.0,16952.0,10228.0,80103.0,16747.0,7823.625793650773,0.20906832453216484,0.2764100208091236,0.2114322026227812,0.7885677973772188,
rel-trial,site-sponsor-run,val,item_cf,,not_supported,,,,,,,,,,,,,
rel-trial,site-sponsor-run,val,user_cf,,not_supported,,,,,,,,,,,,,
rel-trial,site-sponsor-run,val,trial_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-trial/site-sponsor-run/source_sponsor_window_1460d_alpha_0.5_support_1_top16,ok,,37003.0,37003.0,14862.0,8675.0,80103.0,11051.0,6383.807936507929,0.1379598766588018,0.23444045077426154,0.17252136141685617,0.8274786385831439,
rel-trial,site-sponsor-run,val,trial_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-trial/site-sponsor-run/source_sponsor_window_1460d_alpha_0.5_support_1_top64,ok,,37003.0,37003.0,14862.0,8936.0,80103.0,12754.0,6654.784523809514,0.15922000424453517,0.24149393292435747,0.17984445920086248,0.8201555407991376,
rel-trial,site-sponsor-run,test,base,,ok,,27428.0,27428.0,13259.0,8002.0,50635.0,11812.0,6352.455158730144,0.23327737730818604,0.29174566136794516,0.23160475276105236,0.7683952472389477,
rel-trial,site-sponsor-run,test,item_cf,,not_supported,,,,,,,,,,,,,
rel-trial,site-sponsor-run,test,user_cf,,not_supported,,,,,,,,,,,,,
rel-trial,site-sponsor-run,test,trial_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-trial/site-sponsor-run/source_sponsor_window_1460d_alpha_0.5_support_1_top16,ok,,27428.0,27428.0,11726.0,6884.0,50635.0,8353.0,5261.640079365069,0.16496494519601065,0.25098439550823975,0.19183462444819416,0.8081653755518059,
rel-trial,site-sponsor-run,test,trial_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-trial/site-sponsor-run/source_sponsor_window_1460d_alpha_0.5_support_1_top64,ok,,27428.0,27428.0,11726.0,7105.0,50635.0,9460.0,5482.029365079348,0.18682729337414833,0.25904185503864663,0.19986981788972394,0.8001301821102761,
