dataset,task,split,coverage_kind,snapshot_dir,status,error,num_rows,num_positive_rows,num_rows_with_candidates,num_rows_with_hit,num_sampled_candidates,num_groundtruth_labels,num_covered_groundtruth_labels,achievable_ap_sum,coverage_rate,sampled_subgraph_coverage_rate,hit_rate,achievable_MAP,coverage_gap,sampled_candidate_precision,mean_sampled_candidates_per_positive_row
rel-trial,condition-sponsor-run,val,base,,ok,,2081,2081,2033,1215,148385,30448,6405,715.2559523809525,0.21035864424592748,0.21035864424592748,0.5838539163863528,0.34370780988993394,0.656292190110066,0.043164740371331334,71.30466122056704
rel-trial,condition-sponsor-run,val,trial_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-trial/condition-sponsor-run/source_sponsor_window_1460d_alpha_0.5_support_1_top16,ok,,2081,2081,2033,1215,149369,30448,6458,715.5559523809525,0.212099316868103,0.212099316868103,0.5838539163863528,0.34385197135077006,0.6561480286492299,0.043235209447743506,71.77751081210957
rel-trial,condition-sponsor-run,test,base,,ok,,2057,2057,2025,1200,148780,25694,5846,695.5285714285718,0.22752393554915545,0.22752393554915545,0.583373845405931,0.3381276477533164,0.6618723522466836,0.03929291571447775,72.32863393291201
rel-trial,condition-sponsor-run,test,trial_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-trial/condition-sponsor-run/source_sponsor_window_1460d_alpha_0.5_support_1_top16,ok,,2057,2057,2025,1200,149768,25694,5889,695.628571428572,0.22919747801043044,0.22919747801043044,0.583373845405931,0.3381762622404336,0.6618237377595664,0.03932081619571604,72.80894506562956
rel-trial,site-sponsor-run,val,base,,ok,,37003,37003,16952,10221,250181,80103,16093,7800.299999999975,0.2009038363107499,0.2009038363107499,0.27622084695835475,0.21080182687890103,0.789198173121099,0.06432542838984576,6.761100451314758
rel-trial,site-sponsor-run,val,trial_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-trial/site-sponsor-run/source_sponsor_window_1460d_alpha_0.5_support_1_top16,ok,,37003,37003,16952,10221,250561,80103,16108,7802.377777777752,0.2010910952149108,0.2010910952149108,0.27622084695835475,0.21085797848222448,0.7891420215177756,0.06428773831522064,6.771369888927925
rel-trial,site-sponsor-run,val,trial_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-trial/site-sponsor-run/source_sponsor_window_1460d_alpha_0.5_support_1_top64,ok,,37003,37003,16952,10221,251489,80103,16126,7802.599999999975,0.20131580589990386,0.20131580589990386,0.27622084695835475,0.21086398400129652,0.7891360159987035,0.06412208883887566,6.796448936572711
rel-trial,site-sponsor-run,test,base,,ok,,27428,27428,13259,8000,211858,50635,11444,6329.005158730142,0.2260096771008196,0.2260096771008196,0.29167274318214964,0.23074978703259963,0.7692502129674004,0.054017313483559745,7.724150503135482
rel-trial,site-sponsor-run,test,trial_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-trial/site-sponsor-run/source_sponsor_window_1460d_alpha_0.5_support_1_top16,ok,,27428,27428,13259,8000,212153,50635,11454,6330.755158730143,0.22620716895428064,0.22620716895428064,0.29167274318214964,0.23081359044517075,0.7691864095548293,0.0539893378835086,7.734905935540324
rel-trial,site-sponsor-run,test,trial_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-trial/site-sponsor-run/source_sponsor_window_1460d_alpha_0.5_support_1_top64,ok,,27428,27428,13259,8000,212905,50635,11465,6331.455158730142,0.22642440999308777,0.22642440999308777,0.29167274318214964,0.23083911181019914,0.7691608881898009,0.05385030882318405,7.762323173399446
