dataset,task,split,coverage_kind,snapshot_dir,status,error,num_rows,num_positive_rows,num_rows_with_candidates,num_rows_with_hit,num_sampled_candidates,num_groundtruth_labels,num_covered_groundtruth_labels,achievable_ap_sum,coverage_rate,sampled_subgraph_coverage_rate,hit_rate,achievable_MAP,coverage_gap,sampled_candidate_precision,mean_sampled_candidates_per_positive_row
rel-hm,user-item-purchase,val,base,,ok,,74575,74575,66828,6637,1865169,237152,8266,3350.978679653693,0.03485528268789637,0.03485528268789637,0.08899765336909152,0.044934343676214454,0.9550656563237856,0.0044317699897435565,25.01064699966477
rel-hm,user-item-purchase,val,item_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-hm/user-item-purchase/window_4w_alpha_0.5_support_5_top16,ok,,74575,74575,66828,15574,6624375,237152,23371,8121.439502164317,0.09854861017406558,0.09854861017406558,0.20883674153536708,0.10890297689794591,0.8910970231020541,0.00352803094631569,88.82836071069393
rel-hm,user-item-purchase,val,item_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-hm/user-item-purchase/window_8w_alpha_0.5_support_3_top32,ok,,74575,74575,66828,21970,23040530,237152,36499,11953.033838384017,0.15390551207664283,0.15390551207664283,0.2946027489104928,0.16028204945871963,0.8397179505412804,0.0015841215458151352,308.9578276902447
rel-hm,user-item-purchase,val,user_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-hm/user-item-purchase/user_cf_window_4w_alpha_0.5_overlap_3_top16,ok,,74575,74575,66828,7304,2885851,237152,9505,3669.1324675324863,0.040079780056672516,0.040079780056672516,0.0979416694602749,0.04920056946071051,0.9507994305392895,0.0032936558401663843,38.69729802212538
rel-hm,user-item-purchase,test,base,,ok,,67144,67144,59958,6155,1691227,207996,7745,3240.1711399711576,0.037236293005634725,0.037236293005634725,0.09166865244846896,0.04825704664558497,0.951742953354415,0.004579515345958881,25.188058501131895
rel-hm,user-item-purchase,test,item_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-hm/user-item-purchase/window_4w_alpha_0.5_support_5_top16,ok,,67144,67144,59958,14322,5689586,207996,22093,7739.67312409797,0.10621838881516953,0.10621838881516953,0.21330275229357798,0.11526976534162352,0.8847302346583765,0.0038830593298000943,84.73707256046706
rel-hm,user-item-purchase,test,item_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-hm/user-item-purchase/window_8w_alpha_0.5_support_3_top32,ok,,67144,67144,59958,20307,20492317,207996,34491,11422.183044733101,0.16582530433277562,0.16582530433277562,0.3024395329441201,0.17011472424539945,0.8298852757546006,0.0016831186048898228,305.19952639104014
rel-hm,user-item-purchase,test,user_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-hm/user-item-purchase/user_cf_window_4w_alpha_0.5_overlap_3_top16,ok,,67144,67144,59958,6842,2663414,207996,9084,3597.3031024531206,0.04367391680609242,0.04367391680609242,0.10190039318479685,0.053575942786445854,0.9464240572135542,0.0034106601527212816,39.66719289884428
rel-stack,user-post-comment,val,base,,ok,,825,825,665,273,462567,1603,354,230.40758497501955,0.22083593262632564,0.22083593262632564,0.33090909090909093,0.27928192118184186,0.7207180788181582,0.000765294541115125,560.6872727272727
rel-stack,user-post-comment,val,item_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-stack/user-post-comment/window_365d_alpha_0.5_support_3_top16,ok,,825,825,665,273,463334,1603,354,230.40758497501955,0.22083593262632564,0.22083593262632564,0.33090909090909093,0.27928192118184186,0.7207180788181582,0.0007640276776580177,561.6169696969697
rel-stack,user-post-comment,val,user_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-stack/user-post-comment/user_cf_window_365d_alpha_0.5_overlap_2_top32,ok,,825,825,665,275,573441,1603,365,233.1294762133794,0.22769806612601373,0.22769806612601373,0.3333333333333333,0.2825811832889447,0.7174188167110553,0.0006365083766246223,695.08
rel-stack,user-post-comment,test,base,,ok,,758,758,689,251,436043,1517,327,203.97575217438225,0.21555702043506922,0.21555702043506922,0.3311345646437995,0.26909729838309004,0.73090270161691,0.0007499260394043707,575.2546174142481
rel-stack,user-post-comment,test,item_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-stack/user-post-comment/window_365d_alpha_0.5_support_3_top16,ok,,758,758,689,251,436846,1517,328,204.0212067198368,0.21621621621621623,0.21621621621621623,0.3311345646437995,0.26915726480189556,0.7308427351981044,0.0007508366792874377,576.3139841688654
rel-stack,user-post-comment,test,user_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-stack/user-post-comment/user_cf_window_365d_alpha_0.5_overlap_2_top32,ok,,758,758,689,254,539078,1517,337,206.081626887904,0.22214897824653923,0.22214897824653923,0.33509234828496043,0.27187549721359366,0.7281245027864063,0.0006251414452083001,711.1846965699208
