dataset,task,split,coverage_kind,snapshot_dir,status,error,num_rows,num_positive_rows,num_rows_with_candidates,num_rows_with_hit,num_sampled_candidates,num_groundtruth_labels,num_covered_groundtruth_labels,achievable_ap_sum,coverage_rate,sampled_subgraph_coverage_rate,hit_rate,achievable_MAP,coverage_gap,sampled_candidate_precision,mean_sampled_candidates_per_positive_row
rel-hm,user-item-purchase,val,base,,ok,,74575.0,74575.0,66828.0,6637.0,1865169.0,237152.0,8266.0,3350.978679653693,0.03485528268789637,0.03485528268789637,0.08899765336909152,0.044934343676214454,0.9550656563237856,0.0044317699897435565,25.01064699966477
rel-hm,user-item-purchase,val,item_cf,,missing_snapshot,,,,,,,,,,,,,,,,
rel-hm,user-item-purchase,val,user_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-hm/user-item-purchase/user_cf_window_4w_alpha_0.5_overlap_3_top16,ok,,74575.0,74575.0,66828.0,7304.0,2885851.0,237152.0,9505.0,3669.1324675324863,0.040079780056672516,0.040079780056672516,0.0979416694602749,0.04920056946071051,0.9507994305392895,0.0032936558401663843,38.69729802212538
rel-hm,user-item-purchase,test,base,,ok,,67144.0,67144.0,59958.0,6155.0,1691227.0,207996.0,7745.0,3240.1711399711576,0.037236293005634725,0.037236293005634725,0.09166865244846896,0.04825704664558497,0.951742953354415,0.004579515345958881,25.188058501131895
rel-hm,user-item-purchase,test,item_cf,,missing_snapshot,,,,,,,,,,,,,,,,
rel-hm,user-item-purchase,test,user_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-hm/user-item-purchase/user_cf_window_4w_alpha_0.5_overlap_3_top16,ok,,67144.0,67144.0,59958.0,6842.0,2663414.0,207996.0,9084.0,3597.3031024531206,0.04367391680609242,0.04367391680609242,0.10190039318479685,0.053575942786445854,0.9464240572135542,0.0034106601527212816,39.66719289884428
rel-avito,user-ad-visit,val,base,,ok,,29979.0,29979.0,24766.0,12715.0,8206219.0,877441.0,49505.0,4931.809523809518,0.056419747880484275,0.056419747880484275,0.42413022449047666,0.16450880695852158,0.8354911930414785,0.006032619894740806,273.73224590546715
rel-avito,user-ad-visit,val,item_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-avito/user-ad-visit/window_12d_alpha_0.5_support_3_top16,ok,,29979.0,29979.0,24766.0,12800.0,8328806.0,877441.0,50773.0,4998.543073593073,0.057864859289684434,0.057864859289684434,0.4269655425464492,0.16673481682487987,0.8332651831751201,0.006096071873927667,277.82134160579074
rel-avito,user-ad-visit,val,item_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-avito/user-ad-visit/window_4d_alpha_0.5_support_3_top32,ok,,29979.0,29979.0,24766.0,12754.0,8224191.0,877441.0,49847.0,4952.325432900441,0.05680951767697201,0.05680951767697201,0.42543113512792285,0.16519314963475903,0.8348068503652409,0.006061021685901993,274.3317322125488
rel-avito,user-ad-visit,val,user_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-avito/user-ad-visit/user_cf_window_12d_alpha_0.5_overlap_3_top16,ok,,29979.0,29979.0,24766.0,13266.0,10701656.0,877441.0,58028.0,5433.892243867218,0.06613322149295509,0.06613322149295509,0.44250975682978083,0.18125662109700852,0.8187433789029914,0.005422338374546892,356.9717468894893
rel-avito,user-ad-visit,test,base,,ok,,36129.0,36129.0,25369.0,10868.0,8390342.0,712985.0,37633.0,4095.887012987073,0.05278231659852592,0.05278231659852592,0.30081098286694896,0.11336840247410869,0.8866315975258913,0.004485276047150402,232.23288770793545
rel-avito,user-ad-visit,test,item_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-avito/user-ad-visit/window_12d_alpha_0.5_support_3_top16,ok,,36129.0,36129.0,25369.0,10947.0,8513880.0,712985.0,38540.0,4154.886688311749,0.05405443312271647,0.05405443312271647,0.30299759196213566,0.11500143065990615,0.8849985693400939,0.0045267257701541485,235.6522461180769
rel-avito,user-ad-visit,test,item_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-avito/user-ad-visit/window_4d_alpha_0.5_support_3_top32,ok,,36129.0,36129.0,25369.0,10905.0,8408391.0,712985.0,37804.0,4113.246212121275,0.05302215334123439,0.05302215334123439,0.3018350909241883,0.11384888073628593,0.886151119263714,0.00449598502258042,232.73245868969525
rel-avito,user-ad-visit,test,user_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-avito/user-ad-visit/user_cf_window_12d_alpha_0.5_overlap_3_top16,ok,,36129.0,36129.0,25369.0,11315.0,10554839.0,712985.0,43188.0,4454.907720057739,0.060573504351423946,0.060573504351423946,0.31318331534224586,0.12330559163159067,0.8766944083684093,0.004091772503588165,292.14312602064825
rel-stack,user-post-comment,val,base,,ok,,825.0,825.0,665.0,273.0,462567.0,1603.0,354.0,230.40758497501955,0.22083593262632564,0.22083593262632564,0.33090909090909093,0.27928192118184186,0.7207180788181582,0.000765294541115125,560.6872727272727
rel-stack,user-post-comment,val,item_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-stack/user-post-comment/window_365d_alpha_0.5_support_3_top16,ok,,825.0,825.0,665.0,273.0,463334.0,1603.0,354.0,230.40758497501955,0.22083593262632564,0.22083593262632564,0.33090909090909093,0.27928192118184186,0.7207180788181582,0.0007640276776580177,561.6169696969697
rel-stack,user-post-comment,val,user_cf,,not_supported,,,,,,,,,,,,,,,,
rel-stack,user-post-comment,test,base,,ok,,758.0,758.0,689.0,251.0,436043.0,1517.0,327.0,203.97575217438225,0.21555702043506922,0.21555702043506922,0.3311345646437995,0.26909729838309004,0.73090270161691,0.0007499260394043707,575.2546174142481
rel-stack,user-post-comment,test,item_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-stack/user-post-comment/window_365d_alpha_0.5_support_3_top16,ok,,758.0,758.0,689.0,251.0,436846.0,1517.0,328.0,204.0212067198368,0.21621621621621623,0.21621621621621623,0.3311345646437995,0.26915726480189556,0.7308427351981044,0.0007508366792874377,576.3139841688654
rel-stack,user-post-comment,test,user_cf,,not_supported,,,,,,,,,,,,,,,,
rel-trial,condition-sponsor-run,val,base,,ok,,2081.0,2081.0,2033.0,1215.0,148385.0,30448.0,6405.0,715.2559523809525,0.21035864424592748,0.21035864424592748,0.5838539163863528,0.34370780988993394,0.656292190110066,0.043164740371331334,71.30466122056704
rel-trial,condition-sponsor-run,val,item_cf,,not_supported,,,,,,,,,,,,,,,,
rel-trial,condition-sponsor-run,val,user_cf,,not_supported,,,,,,,,,,,,,,,,
rel-trial,condition-sponsor-run,val,trial_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-trial/condition-sponsor-run/source_sponsor_window_1460d_alpha_0.5_support_1_top16,ok,,2081.0,2081.0,1972.0,735.0,24346.0,30448.0,1260.0,272.46746031745926,0.04138202837624803,0.04138202837624803,0.3531955790485344,0.13093102369892323,0.8690689763010768,0.051753881541115584,11.699183085055262
rel-trial,condition-sponsor-run,test,base,,ok,,2057.0,2057.0,2025.0,1200.0,148780.0,25694.0,5846.0,695.5285714285718,0.22752393554915545,0.22752393554915545,0.583373845405931,0.3381276477533164,0.6618723522466836,0.03929291571447775,72.32863393291201
rel-trial,condition-sponsor-run,test,item_cf,,not_supported,,,,,,,,,,,,,,,,
rel-trial,condition-sponsor-run,test,user_cf,,not_supported,,,,,,,,,,,,,,,,
rel-trial,condition-sponsor-run,test,trial_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-trial/condition-sponsor-run/source_sponsor_window_1460d_alpha_0.5_support_1_top16,ok,,2057.0,2057.0,1953.0,715.0,23420.0,25694.0,1189.0,270.3119047619039,0.046275395033860044,0.046275395033860044,0.34759358288770054,0.13141074611662806,0.8685892538833719,0.05076857386848847,11.385512882839086
rel-trial,site-sponsor-run,val,base,,ok,,37003.0,37003.0,16952.0,10221.0,250181.0,80103.0,16093.0,7800.299999999975,0.2009038363107499,0.2009038363107499,0.27622084695835475,0.21080182687890103,0.789198173121099,0.06432542838984576,6.761100451314758
rel-trial,site-sponsor-run,val,item_cf,,not_supported,,,,,,,,,,,,,,,,
rel-trial,site-sponsor-run,val,user_cf,,not_supported,,,,,,,,,,,,,,,,
rel-trial,site-sponsor-run,val,trial_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-trial/site-sponsor-run/source_sponsor_window_1460d_alpha_0.5_support_1_top16,ok,,37003.0,37003.0,14862.0,8675.0,79603.0,80103.0,11051.0,6383.807936507929,0.1379598766588018,0.1379598766588018,0.23444045077426154,0.17252136141685617,0.8274786385831439,0.13882642613971835,2.151258006107613
rel-trial,site-sponsor-run,val,trial_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-trial/site-sponsor-run/source_sponsor_window_1460d_alpha_0.5_support_1_top64,ok,,37003.0,37003.0,14862.0,8936.0,110713.0,80103.0,12754.0,6654.784523809514,0.15922000424453517,0.15922000424453517,0.24149393292435747,0.17984445920086248,0.8201555407991376,0.11519875714685719,2.99200064859606
rel-trial,site-sponsor-run,test,base,,ok,,27428.0,27428.0,13259.0,8000.0,211858.0,50635.0,11444.0,6329.005158730142,0.2260096771008196,0.2260096771008196,0.29167274318214964,0.23074978703259963,0.7692502129674004,0.054017313483559745,7.724150503135482
rel-trial,site-sponsor-run,test,item_cf,,not_supported,,,,,,,,,,,,,,,,
rel-trial,site-sponsor-run,test,user_cf,,not_supported,,,,,,,,,,,,,,,,
rel-trial,site-sponsor-run,test,trial_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-trial/site-sponsor-run/source_sponsor_window_1460d_alpha_0.5_support_1_top16,ok,,27428.0,27428.0,11726.0,6884.0,62108.0,50635.0,8353.0,5261.640079365069,0.16496494519601065,0.16496494519601065,0.25098439550823975,0.19183462444819416,0.8081653755518059,0.13449153088168997,2.2644013416946187
rel-trial,site-sponsor-run,test,trial_cf,/workspace/relbench_routerec/.tmp/cf_snapshots/rel-trial/site-sponsor-run/source_sponsor_window_1460d_alpha_0.5_support_1_top64,ok,,27428.0,27428.0,11726.0,7105.0,88674.0,50635.0,9460.0,5482.029365079348,0.18682729337414833,0.18682729337414833,0.25904185503864663,0.19986981788972394,0.8001301821102761,0.10668290592507386,3.232973603616742
